id,name,sku,price,cost,category_id,category_name,supplier_id
1,QuadroView RX 7800 XT,GPU-10433,915.0,574.31,4,Graphics Cards,32
2,TechPro Pro 15,LAP-21819,882.99,649.97,1,Laptops,39
3,SlimForce EliteBook,LAP-60013,2990.49,2375.09,1,Laptops,1
4,MemoryPro 32GB DDR4 3200,RAM-38908,232.95,155.62,7,RAM,19
5,TitanX RTX 4070,GPU-38637,1921.95,1254.41,4,Graphics Cards,33
6,TidalForce 16GB DDR5 5600,RAM-94026,265.99,193.58,7,RAM,39
7,PixelForce 15 Pro,PHN-54235,901.95,636.84,2,Smartphones,1
8,NVMePro 1TB NVMe,SSD-11615,100.99,80.5,6,SSDs,20
9,iNova Note X,PHN-59407,1431.99,998.38,2,Smartphones,5
10,ConnectPro Wireless Mouse,ACC-81618,34.99,24.84,8,Accessories,17
11,ThreadRip Ryzen 7 7800X3D,CPU-49593,775.0,582.07,5,Processors,45
12,PixelForce 12 Plus,PHN-10341,1493.49,1026.95,2,Smartphones,34
13,RyzenForce i9-14900K,CPU-31647,144.99,103.06,5,Processors,38
14,GalaxyMax S24,PHN-52553,497.0,383.65,2,Smartphones,5
15,XeonPro Ryzen 7 7800X3D,CPU-41928,249.99,196.77,5,Processors,37
16,FlashMax 1TB SATA,SSD-32764,413.99,256.42,6,SSDs,28
17,TitanX RX 7800 XT,GPU-83503,1768.99,1292.59,4,Graphics Cards,42
18,SlimForce Gaming X,LAP-05641,2501.99,1597.07,1,Laptops,35
19,EpicCore i9-14900K,CPU-39537,294.99,231.46,5,Processors,29
20,ConnectPro Mechanical Keyboard RGB,ACC-67242,19.0,14.58,8,Accessories,6
21,ProAcc Wireless Mouse,ACC-38849,87.99,68.01,8,Accessories,4
22,GalaxyMax 12 Plus,PHN-69653,544.95,376.56,2,Smartphones,28
23,TidalForce 64GB DDR5 5600,RAM-28710,71.99,57.14,7,RAM,38
24,MemoryPro 16GB DDR4 3600,RAM-12269,45.49,31.87,7,RAM,34
25,RedNova S24,PHN-16697,1306.99,801.96,2,Smartphones,16
26,QuadroView RTX 4080,GPU-84801,1284.99,792.06,4,Graphics Cards,43
27,TurboSSD 500GB SATA,SSD-84514,470.99,350.06,6,SSDs,16
